Region,Country,ItemType,SalesChannel,OrderID,UnitsSold,UnitPrice,UnitCost
Central America and the Caribbean,Antigua and Barbuda,Clothes,Offline,242512738,3763,109,35
Australia and Oceania,Samoa,Clothes,Online,277429091,6288,109,35
Asia,Sri Lanka,Vegetables,Offline,837450730,9136,154,90
Europe,San Marino,Personal Care,Offline,625751483,2624,81,56
Europe,Serbia,Fruits,Online,665817677,9102,9,6
Australia and Oceania,Australia,Fruits,Online,251448142,7948,9,6
Europe,Russia,Baby Food,Offline,996754205,574,255,159
Middle East and North Africa,Pakistan,Vegetables,Offline,986159694,5423,154,90
Asia,Turkmenistan,Household,Offline,624400937,2968,668,502
Central America and the Caribbean,The Bahamas,Personal Care,Offline,386526763,713,81,56
Sub-Saharan Africa,Gabon,Cosmetics,Online,367898499,8196,437,263
Europe,Germany,Cereal,Online,734189975,1984,205,117
Sub-Saharan Africa,Togo,Cosmetics,Offline,371387517,674,437,263
Europe,Belarus,Beverages,Online,935789954,9898,47,31
Europe,Germany,Cereal,Online,104008615,7315,205,117
Europe,Belarus,Beverages,Online,122967326,7619,47,31
Middle East and North Africa,Kuwait,Baby Food,Online,159902417,7533,255,159
North America,Greenland,Meat,Offline,352362716,813,421,364
Sub-Saharan Africa,Central African Republic,Beverages,Online,458209550,3243,47,31
Europe,Montenegro,Cereal,Offline,305616748,7642,205,117
Europe,Malta,Office Supplies,Offline,243070638,8858,651,524
Sub-Saharan Africa,Cameroon,Personal Care,Offline,689370048,8771,81,56
Middle East and North Africa,Egypt,Beverages,Offline,783626306,1293,47,31
Middle East and North Africa,Lebanon,Beverages,Offline,635263240,7364,47,31
Australia and Oceania,Tuvalu,Personal Care,Offline,874017179,9961,81,56
Middle East and North Africa,Azerbaijan,Office Supplies,Online,399936950,9086,651,524
Middle East and North Africa,Jordan,Vegetables,Online,433383882,6776,154,90
Australia and Oceania,Solomon Islands,Meat,Offline,465031802,2099,421,364
Europe,Bulgaria,Clothes,Offline,505867040,6153,109,35
Europe,France,Cosmetics,Online,637188422,7069,437,263
Middle East and North Africa,Algeria,Vegetables,Online,560607278,5006,154,90
Middle East and North Africa,Israel,Cosmetics,Offline,948047435,7159,437,263
Sub-Saharan Africa,Guinea-Bissau,Cosmetics,Offline,291745221,2749,437,263
Sub-Saharan Africa,Benin,Baby Food,Online,754249465,8033,255,159
Europe,San Marino,Cereal,Online,518421494,1296,205,117
Middle East and North Africa,Pakistan,Baby Food,Online,537435138,7855,255,159
Sub-Saharan Africa,Mali,Beverages,Online,484776723,5060,47,31
Europe,United Kingdom,Fruits,Offline,104245078,7290,9,6
Central America and the Caribbean,The Bahamas,Beverages,Offline,559951531,956,47,31
Europe,Spain,Vegetables,Online,386319911,9501,154,90
Sub-Saharan Africa,Madagascar,Vegetables,Offline,438086545,8399,154,90
Europe,Cyprus,Baby Food,Online,740300261,153,255,159
Sub-Saharan Africa,Mauritania,Baby Food,Offline,938322389,9301,255,159
Europe,Macedonia,Office Supplies,Offline,747826755,7410,651,524
Middle East and North Africa,Azerbaijan,Household,Online,404799687,8078,668,502
Europe,Romania,Personal Care,Offline,215540015,1935,81,56
Central America and the Caribbean,Saint Kitts and Nevis,Personal Care,Offline,106659066,1643,81,56
Europe,Kosovo,Vegetables,Offline,975080668,6893,154,90
Europe,Bosnia and Herzegovina,Baby Food,Online,638041150,9410,255,159
Europe,Greece,Cosmetics,Online,583089339,7948,437,263
Europe,Norway,Snacks,Online,118086564,3293,152,97
Sub-Saharan Africa,Mauritius,Office Supplies,Online,421206653,3264,651,524
Central America and the Caribbean,Nicaragua,Clothes,Offline,490935933,7707,109,35
Europe,Malta,Baby Food,Offline,296073234,3504,255,159
Central America and the Caribbean,Saint Lucia,Baby Food,Online,325729882,9565,255,159
Asia,Sri Lanka,Clothes,Online,239329707,1834,109,35
North America,Mexico,Beverages,Offline,216609036,8282,47,31
Asia,North Korea,Fruits,Offline,507616698,3916,9,6
Central America and the Caribbean,Nicaragua,Vegetables,Online,982714021,5772,154,90
Sub-Saharan Africa,Botswana,Clothes,Offline,682574832,7916,109,35
Europe,Poland,Snacks,Online,968185460,6448,152,97
Central America and the Caribbean,Saint Vincent and the Grenadines,Fruits,Offline,570844733,4497,9,6
Sub-Saharan Africa,Mauritius,Baby Food,Online,542163980,7224,255,159
Sub-Saharan Africa,Zambia,Meat,Online,204067027,6823,421,364
Sub-Saharan Africa,Guinea,Clothes,Offline,298790204,7516,109,35
Central America and the Caribbean,Nicaragua,Cereal,Online,738882339,558,205,117
Central America and the Caribbean,Haiti,Cosmetics,Online,157204759,9236,437,263
Middle East and North Africa,Qatar,Fruits,Offline,856931293,3867,9,6
Sub-Saharan Africa,Tanzania,Snacks,Offline,261548268,6800,152,97
Europe,Kosovo,Baby Food,Offline,364854514,7413,255,159
Europe,Luxembourg,Cosmetics,Online,980961358,7120,437,263
Asia,Japan,Cosmetics,Offline,194292628,4361,437,263
Middle East and North Africa,Qatar,Vegetables,Offline,209584653,9611,154,90
Europe,France,Fruits,Offline,601886260,374,9,6
Central America and the Caribbean,Saint Kitts and Nevis,Cosmetics,Online,566558778,6187,437,263
Sub-Saharan Africa,Eritrea,Personal Care,Offline,269276034,3617,81,56
Middle East and North Africa,Jordan,Office Supplies,Offline,396024358,1263,651,524
Sub-Saharan Africa,Togo,Cereal,Offline,803102576,4754,205,117
Sub-Saharan Africa,Burundi,Office Supplies,Online,967122018,1752,651,524
Sub-Saharan Africa,Ethiopia,Personal Care,Online,435006511,6948,81,56
Middle East and North Africa,Iran,Vegetables,Online,173992383,7067,154,90
Europe,Poland,Household,Online,321628463,5864,668,502
Australia and Oceania,Palau,Cereal,Offline,635776078,9125,205,117
Europe,Portugal,Meat,Online,944609057,9666,421,364
Central America and the Caribbean,El Salvador,Vegetables,Online,696613729,2337,154,90
Europe,Malta,Cosmetics,Offline,310588920,9018,437,263
Sub-Saharan Africa,South Sudan,Office Supplies,Online,725645959,3620,651,524
Europe,Armenia,Meat,Offline,251208674,7084,421,364
Sub-Saharan Africa,Senegal,Personal Care,Online,417013394,2385,81,56
Middle East and North Africa,Morocco,Beverages,Online,123108947,9528,47,31
Sub-Saharan Africa,Nigeria,Personal Care,Online,589856660,548,81,56
Central America and the Caribbean,Nicaragua,Clothes,Online,407930362,4514,109,35
Europe,Greece,Fruits,Online,488316380,2523,9,6
Middle East and North Africa,Oman,Cereal,Offline,912313544,2706,205,117
Middle East and North Africa,Syria,Beverages,Online,481533181,5224,47,31
Sub-Saharan Africa,Togo,Personal Care,Online,767899119,7269,81,56
Europe,Vatican City,Clothes,Online,263647687,8064,109,35
Sub-Saharan Africa,Senegal,Beverages,Online,231327712,3865,47,31
Europe,Switzerland,Personal Care,Offline,653800523,2958,81,56
Europe,Sweden,Cosmetics,Online,684239947,661,437,263
Sub-Saharan Africa,Eritrea,Cereal,Offline,896132314,4321,205,117
Europe,Vatican City,Personal Care,Online,133276450,8318,81,56
Asia,Indonesia,Clothes,Offline,459783685,9065,109,35
Sub-Saharan Africa,Rwanda,Clothes,Online,410077846,2,109,35
Europe,Moldova,Personal Care,Offline,838895261,6605,81,56
Central America and the Caribbean,Saint Kitts and Nevis,Vegetables,Online,871284759,1377,154,90
Middle East and North Africa,Qatar,Household,Offline,152607667,8855,668,502
Europe,Denmark,Meat,Online,198537814,606,421,364
Australia and Oceania,Tonga,Meat,Offline,345061528,229,421,364
Central America and the Caribbean,Grenada,Vegetables,Offline,898477637,8354,154,90
Europe,Slovenia,Meat,Online,885397469,7642,421,364
Europe,Hungary,Personal Care,Offline,302744853,7785,81,56
Sub-Saharan Africa,Mauritius,Beverages,Online,567756116,506,47,31
Sub-Saharan Africa,Mauritius,Beverages,Online,467980086,4562,47,31
Middle East and North Africa,Syria,Personal Care,Online,211278092,737,81,56
Europe,Greece,Office Supplies,Online,975823962,6850,651,524
Europe,Denmark,Cosmetics,Offline,860104024,2749,437,263
Sub-Saharan Africa,Cape Verde,Cosmetics,Online,732917106,5313,437,263
Sub-Saharan Africa,Sudan,Cereal,Online,183374536,3455,205,117
Sub-Saharan Africa,Cote d'Ivoire,Baby Food,Offline,670900142,3116,255,159
Australia and Oceania,Kiribati,Meat,Online,575230252,2269,421,364
Central America and the Caribbean,Panama,Office Supplies,Offline,146413695,5921,651,524
Sub-Saharan Africa,Mali,Fruits,Offline,154811799,1106,9,6
Sub-Saharan Africa,Sao Tome and Principe,Household,Online,541098392,1893,668,502
Asia,Kazakhstan,Baby Food,Online,866259801,4380,255,159
Asia,North Korea,Clothes,Offline,761594855,1697,109,35
Europe,Montenegro,Cosmetics,Offline,378714883,9005,437,263
Middle East and North Africa,Azerbaijan,Personal Care,Online,839543712,8496,81,56
Asia,North Korea,Beverages,Online,186317670,4394,47,31
Europe,France,Personal Care,Offline,131585586,7954,81,56
Middle East and North Africa,Iran,Fruits,Offline,208208787,2462,9,6
Asia,Kazakhstan,Baby Food,Offline,919361102,8235,255,159
Europe,Greece,Personal Care,Online,588528859,7623,81,56
Australia and Oceania,East Timor,Beverages,Offline,309510886,4,47,31
Europe,Macedonia,Meat,Online,796418511,6791,421,364
Australia and Oceania,Australia,Cosmetics,Offline,133675563,6424,437,263
Europe,Kosovo,Cosmetics,Online,526018369,9379,437,263
Middle East and North Africa,Kuwait,Cosmetics,Online,648495757,3160,437,263
Central America and the Caribbean,Dominica,Vegetables,Offline,596469056,7303,154,90
Middle East and North Africa,Jordan,Fruits,Online,535612094,8376,9,6
North America,Mexico,Snacks,Offline,251911199,4977,152,97
Central America and the Caribbean,Belize,Office Supplies,Offline,501665198,2735,651,524
Asia,Malaysia,Beverages,Offline,761485421,9313,47,31
Middle East and North Africa,United Arab Emirates,Meat,Offline,578295695,9402,421,364
Middle East and North Africa,Pakistan,Snacks,Offline,919332349,9726,152,97
Europe,Montenegro,Beverages,Offline,122144210,4041,47,31
Europe,Belarus,Office Supplies,Offline,644592607,8131,651,524
North America,Greenland,Cereal,Offline,514851367,4815,205,117
Sub-Saharan Africa,Niger,Vegetables,Offline,981406819,8942,154,90
Middle East and North Africa,Pakistan,Beverages,Offline,663057792,2390,47,31
Central America and the Caribbean,Saint Vincent and the Grenadines,Cereal,Online,498915612,9072,205,117
Europe,Moldova,Fruits,Online,598404109,9929,9,6
Sub-Saharan Africa,Lesotho,Household,Offline,691259610,7935,668,502
Europe,Czech Republic,Personal Care,Online,577530944,3095,81,56
North America,United States of America,Cereal,Offline,577579438,7446,205,117
Europe,Finland,Fruits,Offline,182078921,54,9,6
Europe,Serbia,Baby Food,Online,302015721,2018,255,159
Middle East and North Africa,Afghanistan,Fruits,Online,118688666,1469,9,6
Europe,Latvia,Clothes,Offline,233709084,8566,109,35
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,419000804,504,154,90
Europe,Estonia,Meat,Offline,966800153,6505,421,364
Asia,Singapore,Baby Food,Online,439655959,2823,255,159
Central America and the Caribbean,Grenada,Cosmetics,Offline,620429551,7746,437,263
Sub-Saharan Africa,Sao Tome and Principe,Personal Care,Online,662294757,6591,81,56
Sub-Saharan Africa,Ethiopia,Office Supplies,Offline,238737905,6706,651,524
Central America and the Caribbean,Dominican Republic,Cereal,Offline,893557822,2471,205,117
Central America and the Caribbean,Belize,Household,Offline,190865838,298,668,502
Middle East and North Africa,Turkey,Vegetables,Online,265085780,3628,154,90
Asia,Tajikistan,Baby Food,Offline,170953977,7936,255,159
Asia,China,Clothes,Offline,833519256,5725,109,35
Sub-Saharan Africa,Chad,Office Supplies,Offline,998142945,1533,651,524
Europe,Bulgaria,Clothes,Online,380498874,6927,109,35
Sub-Saharan Africa,Sierra Leone,Meat,Offline,116573369,5505,421,364
Sub-Saharan Africa,Malawi,Fruits,Offline,512665259,7898,9,6
Europe,Luxembourg,Personal Care,Offline,595385873,6765,81,56
Europe,Luxembourg,Cereal,Online,361659038,1801,205,117
Europe,Kosovo,Baby Food,Online,328721082,4728,255,159
Europe,Denmark,Clothes,Offline,184120833,4301,109,35
Asia,Singapore,Meat,Online,135719621,1307,421,364
Australia and Oceania,Samoa,Personal Care,Offline,461691272,3562,81,56
Asia,Philippines,Snacks,Offline,160522115,916,152,97
Asia,China,Meat,Online,101010978,248,421,364
Middle East and North Africa,Iraq,Vegetables,Online,772269189,469,154,90
Europe,Liechtenstein,Vegetables,Offline,933720576,7523,154,90
Europe,Latvia,Cosmetics,Online,765101468,9382,437,263
Europe,Armenia,Household,Offline,516460692,1051,668,502
Asia,North Korea,Fruits,Online,958159577,9566,9,6
Asia,Nepal,Household,Offline,230871951,8996,668,502
Sub-Saharan Africa,Cape Verde,Fruits,Online,595584142,5438,9,6
Europe,Ukraine,Meat,Offline,783594977,2022,421,364
Asia,Tajikistan,Personal Care,Online,946515786,3910,81,56
Europe,Romania,Snacks,Online,406270396,3293,152,97
Europe,Kosovo,Vegetables,Online,805095136,4396,154,90
Asia,Thailand,Fruits,Offline,255538833,8474,9,6
Sub-Saharan Africa,Madagascar,Office Supplies,Online,990462815,8812,651,524
Australia and Oceania,Australia,Baby Food,Offline,813040912,5728,255,159
Sub-Saharan Africa,Tanzania,Personal Care,Online,746759450,1571,81,56
Europe,United Kingdom,Cereal,Online,985417258,5720,205,117
Europe,Serbia,Cereal,Offline,443125665,9586,205,117
Sub-Saharan Africa,Seychelles,Vegetables,Offline,804308497,1613,154,90
Central America and the Caribbean,Honduras,Cosmetics,Online,673702085,2273,437,263
Asia,Sri Lanka,Fruits,Offline,526355254,9071,9,6
Central America and the Caribbean,Dominican Republic,Clothes,Offline,457629334,1544,109,35
Sub-Saharan Africa,Central African Republic,Cereal,Offline,633198153,6260,205,117
Australia and Oceania,New Zealand,Office Supplies,Offline,839048039,1815,651,524
Europe,Belgium,Beverages,Online,931477820,3841,47,31
Europe,United Kingdom,Personal Care,Offline,387098824,9999,81,56
Sub-Saharan Africa,Niger,Meat,Online,552834880,4981,421,364
Europe,Denmark,Meat,Offline,595922315,5510,421,364
Europe,Slovakia,Office Supplies,Online,653909957,5342,651,524
Sub-Saharan Africa,Burundi,Beverages,Online,484659135,263,47,31
Sub-Saharan Africa,Burkina Faso,Snacks,Online,816343677,3090,152,97
Asia,Turkmenistan,Personal Care,Online,197449910,8671,81,56
Asia,Myanmar,Snacks,Offline,846776664,8887,152,97
Europe,Serbia,Beverages,Offline,103435266,7648,47,31
Central America and the Caribbean,Saint Kitts and Nevis,Fruits,Online,776849544,5898,9,6
Sub-Saharan Africa,Guinea-Bissau,Baby Food,Offline,796755826,6609,255,159
Europe,Sweden,Meat,Offline,863202941,9787,421,364
Europe,Cyprus,Clothes,Offline,396552217,7468,109,35
Asia,Taiwan,Beverages,Offline,687477481,8719,47,31
Sub-Saharan Africa,Benin,Snacks,Online,846965062,4638,152,97
Middle East and North Africa,Afghanistan,Personal Care,Online,956313788,3356,81,56
Central America and the Caribbean,Haiti,Clothes,Offline,717134988,5034,109,35
Europe,United Kingdom,Cosmetics,Offline,801352488,6864,437,263
Middle East and North Africa,Libya,Office Supplies,Offline,601202619,8070,651,524
Europe,Luxembourg,Fruits,Online,479234206,4906,9,6
Sub-Saharan Africa,The Gambia,Baby Food,Offline,418308579,5659,255,159
Middle East and North Africa,Turkey,Cosmetics,Offline,471599566,5647,437,263
Sub-Saharan Africa,Mauritania,Baby Food,Online,312593495,2217,255,159
Sub-Saharan Africa,Democratic Republic of the Congo,Snacks,Offline,585089194,9749,152,97
Middle East and North Africa,Egypt,Snacks,Online,653197991,4656,152,97
Sub-Saharan Africa,Djibouti,Cereal,Online,851343715,379,205,117
Sub-Saharan Africa,South Sudan,Household,Offline,234262692,2391,668,502
Europe,Romania,Meat,Offline,627003753,3199,421,364
Middle East and North Africa,Syria,Vegetables,Offline,774928224,7337,154,90
Europe,France,Fruits,Offline,393709933,6373,9,6
Sub-Saharan Africa,Mauritius,Household,Online,619335210,3906,668,502
Asia,Kyrgyzstan,Office Supplies,Online,858102881,566,651,524
Europe,Latvia,Beverages,Offline,136624276,9014,47,31
Europe,United Kingdom,Clothes,Online,251823222,8942,109,35
Asia,India,Fruits,Online,820936048,2074,9,6
Sub-Saharan Africa,Zambia,Snacks,Online,631511580,7165,152,97
Asia,India,Household,Online,791411149,5001,668,502
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Online,678808581,3399,47,31
Australia and Oceania,Fiji,Household,Online,192190206,2208,668,502
Europe,Macedonia,Baby Food,Offline,200354850,8307,255,159
North America,United States of America,Clothes,Offline,292413842,609,109,35
Asia,Vietnam,Beverages,Offline,127791011,5055,47,31
Australia and Oceania,Australia,Cereal,Online,786222684,9619,205,117
Australia and Oceania,Tuvalu,Cosmetics,Online,717757689,9305,437,263
Europe,Germany,Meat,Offline,692757356,1151,421,364
Europe,Liechtenstein,Baby Food,Offline,651895511,9223,255,159
Europe,Lithuania,Clothes,Offline,156158483,9620,109,35
Asia,Japan,Office Supplies,Offline,636845099,5472,651,524
Sub-Saharan Africa,Sierra Leone,Cosmetics,Offline,445566689,1940,437,263
Sub-Saharan Africa,Nigeria,Vegetables,Offline,704247081,1216,154,90
Sub-Saharan Africa,Madagascar,Beverages,Online,355122601,7524,47,31
Australia and Oceania,Papua New Guinea,Cereal,Online,210742080,2119,205,117
Europe,Serbia,Snacks,Offline,703966844,8288,152,97
Sub-Saharan Africa,Senegal,Cosmetics,Online,537970721,6346,437,263
Europe,Slovenia,Household,Offline,736240041,8644,668,502
Middle East and North Africa,Iraq,Office Supplies,Online,592573630,4560,651,524
Central America and the Caribbean,Haiti,Snacks,Online,821082818,5507,152,97
Sub-Saharan Africa,Sierra Leone,Household,Offline,406191432,9926,668,502
Sub-Saharan Africa,Uganda,Office Supplies,Online,652635800,8291,651,524
Asia,Myanmar,Meat,Offline,235464751,8107,421,364
Sub-Saharan Africa,Angola,Fruits,Offline,150039613,8910,9,6
Middle East and North Africa,Yemen,Cosmetics,Offline,562034213,7268,437,263
Europe,Montenegro,Cosmetics,Online,357434880,1779,437,263
Asia,Myanmar,Household,Offline,292540442,8073,668,502
Asia,Indonesia,Meat,Online,743962228,3811,421,364
Europe,Russia,Clothes,Offline,358624064,3685,109,35
Europe,Spain,Vegetables,Online,103762280,4419,154,90
Central America and the Caribbean,El Salvador,Cereal,Online,116925704,9769,205,117
Asia,Uzbekistan,Household,Online,155975663,5520,668,502
Sub-Saharan Africa,Sudan,Clothes,Online,949085986,4489,109,35
Europe,Slovenia,Baby Food,Offline,144743001,1525,255,159
Asia,Brunei,Baby Food,Online,861745536,8509,255,159
Europe,Iceland,Beverages,Online,439204919,9350,47,31
Sub-Saharan Africa,Zambia,Office Supplies,Offline,786544978,4993,651,524
Sub-Saharan Africa,Namibia,Meat,Online,733502042,8409,421,364
Sub-Saharan Africa,Ethiopia,Personal Care,Online,980124938,9605,81,56
Middle East and North Africa,Azerbaijan,Personal Care,Online,946774995,615,81,56
Australia and Oceania,Nauru,Clothes,Offline,124126040,509,109,35
Sub-Saharan Africa,Zambia,Beverages,Online,323164403,383,47,31
Middle East and North Africa,Lebanon,Cereal,Online,725188910,8369,205,117
Sub-Saharan Africa,Swaziland,Beverages,Online,131810891,4627,47,31
Europe,Malta,Fruits,Offline,114954173,6349,9,6
Middle East and North Africa,Afghanistan,Personal Care,Online,966855084,2760,81,56
Sub-Saharan Africa,Liberia,Clothes,Offline,350062453,114,109,35
Australia and Oceania,Solomon Islands,Baby Food,Online,947437608,6697,255,159
Sub-Saharan Africa,Cote d'Ivoire,Beverages,Online,112154376,7827,47,31
Australia and Oceania,Kiribati,Household,Offline,217699086,852,668,502
Sub-Saharan Africa,Zambia,Clothes,Offline,107870566,153,109,35
Sub-Saharan Africa,Namibia,Cereal,Online,946780145,2139,205,117
Middle East and North Africa,Yemen,Cereal,Online,368851649,255,205,117
Sub-Saharan Africa,Cape Verde,Office Supplies,Online,128821408,9972,651,524
Australia and Oceania,Samoa,Vegetables,Offline,251738250,3797,154,90
Sub-Saharan Africa,Rwanda,Meat,Online,382963502,6265,421,364
Europe,Norway,Beverages,Offline,238170993,8944,47,31
Sub-Saharan Africa,Mozambique,Baby Food,Offline,953347051,5433,255,159
Europe,Italy,Clothes,Online,134790503,6360,109,35
Europe,Montenegro,Vegetables,Online,409112679,4388,154,90
Sub-Saharan Africa,Cameroon,Personal Care,Offline,873237407,9209,81,56
Sub-Saharan Africa,Djibouti,Household,Offline,244401013,2546,668,502
North America,United States of America,Cereal,Online,910152328,3154,205,117
Asia,Brunei,Beverages,Online,378352677,1820,47,31
Europe,Italy,Meat,Offline,727175891,6360,421,364
Sub-Saharan Africa,Mozambique,Household,Offline,955108296,6624,668,502
Sub-Saharan Africa,South Africa,Clothes,Offline,130948722,9492,109,35
Australia and Oceania,Papua New Guinea,Office Supplies,Online,543808495,3873,651,524
Australia and Oceania,Marshall Islands,Household,Offline,953111445,5712,668,502
Europe,Sweden,Cosmetics,Online,638593900,2981,437,263
Sub-Saharan Africa,Ghana,Snacks,Online,750304687,685,152,97
Sub-Saharan Africa,Cote d'Ivoire,Baby Food,Online,258605134,5861,255,159
Sub-Saharan Africa,Guinea,Office Supplies,Offline,904169070,2575,651,524
Middle East and North Africa,Iraq,Office Supplies,Offline,447982823,6927,651,524
Central America and the Caribbean,Nicaragua,Meat,Offline,321345221,2047,421,364
Sub-Saharan Africa,Burkina Faso,Beverages,Online,675867593,3095,47,31
Europe,Albania,Beverages,Offline,833473765,2264,47,31
Middle East and North Africa,United Arab Emirates,Household,Online,636400067,3777,668,502
Sub-Saharan Africa,South Africa,Cosmetics,Offline,897195327,8890,437,263
Middle East and North Africa,Saudi Arabia,Office Supplies,Online,248720872,888,651,524
Sub-Saharan Africa,Seychelles,Meat,Online,994150531,89,421,364
Middle East and North Africa,Afghanistan,Baby Food,Offline,556970632,8842,255,159
Sub-Saharan Africa,Uganda,Beverages,Offline,930980002,6526,47,31
Sub-Saharan Africa,Mali,Clothes,Online,130289971,4553,109,35
Australia and Oceania,Fiji,Fruits,Online,739324367,1364,9,6
Middle East and North Africa,Turkey,Clothes,Online,462819516,7435,109,35
Asia,Thailand,Baby Food,Online,675824248,268,255,159
Sub-Saharan Africa,Madagascar,Baby Food,Offline,573699891,9402,255,159
Sub-Saharan Africa,Uganda,Office Supplies,Offline,322120273,1402,651,524
Australia and Oceania,Solomon Islands,Cosmetics,Online,607071721,4868,437,263
Australia and Oceania,Marshall Islands,Personal Care,Online,384853065,5429,81,56
Central America and the Caribbean,Guatemala,Personal Care,Offline,932075631,747,81,56
Middle East and North Africa,Iran,Fruits,Online,895663249,5514,9,6
Sub-Saharan Africa,Djibouti,Vegetables,Offline,342852246,6453,154,90
Sub-Saharan Africa,Guinea,Beverages,Online,311191451,7321,47,31
Central America and the Caribbean,Saint Vincent and the Grenadines,Meat,Online,558542191,3901,421,364
Middle East and North Africa,Algeria,Beverages,Offline,913078296,9013,47,31
Australia and Oceania,Australia,Household,Online,823286092,7505,668,502
Asia,Bangladesh,Fruits,Online,707964408,1256,9,6
Europe,Denmark,Cosmetics,Offline,606224572,4177,437,263
Middle East and North Africa,Somalia,Clothes,Offline,627490413,7212,109,35
Australia and Oceania,Marshall Islands,Cosmetics,Online,501498258,3334,437,263
Asia,North Korea,Snacks,Offline,928296935,2547,152,97
Asia,South Korea,Household,Online,428247773,6888,668,502
Sub-Saharan Africa,Sao Tome and Principe,Snacks,Offline,292024600,5423,152,97
Middle East and North Africa,Oman,Fruits,Online,530613744,9253,9,6
Europe,Cyprus,Clothes,Online,325314033,6506,109,35
Middle East and North Africa,Qatar,Fruits,Online,277736794,7344,9,6
Europe,Kosovo,Meat,Offline,159805858,8959,421,364
Asia,Vietnam,Beverages,Online,263757550,575,47,31
Middle East and North Africa,Pakistan,Office Supplies,Offline,952140700,8447,651,524
Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,407816636,860,437,263
Middle East and North Africa,Turkey,Snacks,Online,483959186,3133,152,97
Asia,Thailand,Personal Care,Online,854054677,2613,81,56
Middle East and North Africa,Bahrain,Snacks,Online,361901938,3681,152,97
North America,United States of America,Household,Offline,171612298,2747,668,502
Sub-Saharan Africa,Sierra Leone,Cosmetics,Offline,617609584,3255,437,263
Central America and the Caribbean,Costa Rica,Office Supplies,Online,754630124,678,651,524
North America,Mexico,Office Supplies,Offline,607722747,7521,651,524
Europe,Switzerland,Snacks,Online,722248780,8319,152,97
Central America and the Caribbean,Honduras,Clothes,Online,813882052,4640,109,35
Sub-Saharan Africa,Togo,Personal Care,Online,218608891,84,81,56
Sub-Saharan Africa,Guinea,Fruits,Offline,142728126,5279,9,6
North America,Mexico,Baby Food,Online,512851083,2887,255,159
Australia and Oceania,Australia,Household,Offline,425901591,2600,668,502
Europe,Spain,Vegetables,Online,399115979,6142,154,90
Middle East and North Africa,Tunisia,Personal Care,Online,120043075,2268,81,56
Asia,South Korea,Office Supplies,Offline,696544206,1764,651,524
Middle East and North Africa,Iraq,Cosmetics,Offline,606793200,2447,437,263
Sub-Saharan Africa,Kenya,Beverages,Online,649276387,4166,47,31
Europe,Kosovo,Household,Offline,792792594,3801,668,502
Europe,Portugal,Cosmetics,Offline,626453149,263,437,263
Sub-Saharan Africa,Mali,Personal Care,Offline,709681880,9494,81,56
Middle East and North Africa,Algeria,Meat,Online,322215116,9468,421,364
Central America and the Caribbean,Grenada,Household,Offline,614101684,5190,668,502
Middle East and North Africa,Algeria,Personal Care,Online,555702912,3696,81,56
Middle East and North Africa,Lebanon,Cereal,Offline,987692630,9053,205,117
Asia,Cambodia,Fruits,Online,571057164,7360,9,6
Europe,Armenia,Snacks,Offline,737095344,1747,152,97
North America,United States of America,Beverages,Online,737418496,7375,47,31
Sub-Saharan Africa,Guinea,Clothes,Online,793950450,6436,109,35
Sub-Saharan Africa,Liberia,Personal Care,Online,748927533,3155,81,56
Sub-Saharan Africa,Rwanda,Office Supplies,Online,514898574,8785,651,524
Asia,North Korea,Fruits,Offline,524724900,6613,9,6
Australia and Oceania,Australia,Baby Food,Online,381580340,6957,255,159
Sub-Saharan Africa,South Africa,Meat,Online,208951222,2165,421,364
Sub-Saharan Africa,Cameroon,Personal Care,Offline,200636374,1617,81,56
Asia,Kyrgyzstan,Snacks,Online,170747125,6723,152,97
Asia,Kyrgyzstan,Beverages,Offline,903707301,5928,47,31
Sub-Saharan Africa,Benin,Vegetables,Offline,104253232,9703,154,90
Middle East and North Africa,Pakistan,Personal Care,Offline,947433745,5554,81,56
Australia and Oceania,Tuvalu,Baby Food,Offline,828610169,3018,255,159
Central America and the Caribbean,Grenada,Snacks,Offline,813456332,8660,152,97
Central America and the Caribbean,Cuba,Vegetables,Online,687958562,1081,154,90
Sub-Saharan Africa,Seychelles,Household,Offline,308415687,5910,668,502
Middle East and North Africa,Syria,Snacks,Offline,951439034,808,152,97
Australia and Oceania,Kiribati,Snacks,Online,363952434,468,152,97
Asia,India,Personal Care,Online,413192212,1612,81,56
Asia,Bangladesh,Baby Food,Online,336707198,7997,255,159
Middle East and North Africa,Qatar,Personal Care,Online,792358720,5408,81,56
Europe,San Marino,Fruits,Offline,708320605,6662,9,6
Europe,Lithuania,Office Supplies,Offline,433079183,6609,651,524
Asia,North Korea,Clothes,Offline,385433280,7128,109,35
Europe,Georgia,Personal Care,Offline,604494225,2129,81,56
Central America and the Caribbean,Saint Kitts and Nevis,Fruits,Online,299685847,2557,9,6
Asia,Tajikistan,Cereal,Online,100744473,1383,205,117
Europe,Macedonia,Fruits,Online,707718932,8614,9,6
Asia,Cambodia,Beverages,Offline,640970551,6285,47,31
Sub-Saharan Africa,Mauritania,Cereal,Online,291173160,3463,205,117
Central America and the Caribbean,Dominica,Household,Offline,569313085,1248,668,502
Europe,Sweden,Household,Offline,656689155,7769,668,502
