region,edad,estado_civil,ingreso_mensual,fact_exp
Región del Libertador Gral. Bernardo O'Higgins,61,Casado(a),360000,91
Región de Los Lagos,31,Soltero(a),320000,58
Región de Arica y Parinacota,39,Conviviente o pareja sin acuerdo de unión civil,278000,23
Región Metropolitana de Santiago,55,Conviviente o pareja sin acuerdo de unión civil,170000,306
Región de Arica y Parinacota,41,Casado(a),50000,31
Región del Biobío,32,Casado(a),350000,88
Región Metropolitana de Santiago,76,Casado(a),280000,99
Región de Tarapacá,63,Conviviente o pareja sin acuerdo de unión civil,330000,45
Región de Arica y Parinacota,59,Soltero(a),330000,20
Región de Aysén del Gral. Carlos Ibáñez del Campo,54,Soltero(a),180000,19
Región Metropolitana de Santiago,48,Casado(a),354000,119
Región de Arica y Parinacota,66,Casado(a),390000,40
Región de Antofagasta,18,Soltero(a),320000,60
Región del Biobío,38,Soltero(a),550000,53
Región Metropolitana de Santiago,30,Casado(a),1200000,163
Región de Valparaíso,26,Soltero(a),320000,41
Región del Maule,43,Casado(a),340000,71
Región de Valparaíso,31,Casado(a),670000,62
Región Metropolitana de Santiago,58,Casado(a),301000,179
Región Metropolitana de Santiago,34,Soltero(a),1500000,113
Región Metropolitana de Santiago,41,Divorciado (a),290000,155
Región Metropolitana de Santiago,51,Casado(a),450000,59
Región de Los Lagos,44,Separado(a),470000,72
Región de Ñuble,36,Conviviente o pareja sin acuerdo de unión civil,140000,74
Región del Biobío,27,Soltero(a),950000,301
Región de Valparaíso,45,Soltero(a),320000,179
Región Metropolitana de Santiago,56,Casado(a),1300000,174
Región del Biobío,26,Soltero(a),340000,362
Región del Maule,46,Conviviente o pareja sin acuerdo de unión civil,130000,77
Región de Ñuble,49,Separado(a),160000,106
Región del Libertador Gral. Bernardo O'Higgins,61,Casado(a),310000,18
Región del Libertador Gral. Bernardo O'Higgins,42,Casado(a),1100000,73
Región Metropolitana de Santiago,28,Conviviente o pareja sin acuerdo de unión civil,850000,56
Región del Biobío,53,Casado(a),580000,74
Región de Tarapacá,39,Soltero(a),320000,44
Región del Biobío,36,Soltero(a),350000,29
Región del Libertador Gral. Bernardo O'Higgins,18,Soltero(a),480000,55
Región de Valparaíso,55,Casado(a),298000,71
Región de Los Ríos,63,Conviviente o pareja sin acuerdo de unión civil,320000,59
Región del Libertador Gral. Bernardo O'Higgins,63,Soltero(a),70000,45
Región de Atacama,30,Casado(a),1700000,55
Región Metropolitana de Santiago,26,Soltero(a),1700000,195
Región Metropolitana de Santiago,47,Conviviente o pareja sin acuerdo de unión civil,320000,120
Región Metropolitana de Santiago,41,Soltero(a),1100000,58
Región del Maule,58,Separado(a),320000,45
Región de Coquimbo,31,Conviviente o pareja sin acuerdo de unión civil,320000,99
Región de La Araucanía,30,Conviviente o pareja sin acuerdo de unión civil,880000,24
Región Metropolitana de Santiago,64,Casado(a),330000,124
Región del Maule,25,Conviviente o pareja sin acuerdo de unión civil,320000,63
Región de Los Lagos,43,Casado(a),3200000,107
Región de Magallanes y de la Antártica Chilena,57,Soltero(a),1800000,38
Región Metropolitana de Santiago,37,Soltero(a),214000,94
Región Metropolitana de Santiago,30,Soltero(a),380000,204
Región de Antofagasta,57,Separado(a),650000,202
Región del Libertador Gral. Bernardo O'Higgins,44,Soltero(a),350000,45
Región de Atacama,48,Casado(a),1300000,52
Región Metropolitana de Santiago,26,Viudo(a),450000,83
Región de Tarapacá,39,Soltero(a),255760,33
Región de La Araucanía,43,Soltero(a),950000,70
Región de Valparaíso,29,Casado(a),450000,40
Región de Atacama,32,Conviviente o pareja sin acuerdo de unión civil,2200000,29
Región de Los Lagos,38,Casado(a),430000,75
Región Metropolitana de Santiago,56,Casado(a),320000,203
Región del Biobío,56,Casado(a),332000,66
Región del Biobío,29,Soltero(a),830000,119
Región Metropolitana de Santiago,55,Divorciado (a),3200000,113
Región de Valparaíso,27,Soltero(a),320000,71
Región Metropolitana de Santiago,31,Casado(a),263000,273
Región de Los Lagos,55,Casado(a),277000,150
Región del Biobío,27,Conviviente o pareja sin acuerdo de unión civil,550000,55
Región del Libertador Gral. Bernardo O'Higgins,40,Separado(a),480000,80
Región de Valparaíso,20,Soltero(a),80000,169
Región de Coquimbo,23,Soltero(a),320000,44
Región de Aysén del Gral. Carlos Ibáñez del Campo,20,Soltero(a),350000,15
Región del Biobío,44,Casado(a),1400000,120
Región del Biobío,56,Divorciado (a),160000,114
Región de Tarapacá,24,Soltero(a),450000,40
Región de Arica y Parinacota,53,Casado(a),90000,19
Región del Libertador Gral. Bernardo O'Higgins,44,Casado(a),1500000,113
Región de Ñuble,64,Soltero(a),301000,75
Región de Tarapacá,44,Separado(a),1300000,41
Región del Libertador Gral. Bernardo O'Higgins,46,Separado(a),250000,61
Región Metropolitana de Santiago,58,Separado(a),280000,257
Región del Maule,50,Casado(a),650000,63
Región de Antofagasta,48,Conviviente o pareja sin acuerdo de unión civil,1200000,65
Región del Maule,28,Soltero(a),550000,57
Región de Atacama,58,Casado(a),1200000,47
Región de Tarapacá,53,Casado(a),2800000,27
Región de Arica y Parinacota,34,Conviviente o pareja sin acuerdo de unión civil,320000,32
Región de Arica y Parinacota,57,Soltero(a),320000,44
Región de Los Ríos,42,Casado(a),350000,112
Región Metropolitana de Santiago,60,Conviviente civil (con acuerdo de unión civil),170000,201
Región de Valparaíso,38,Conviviente o pareja sin acuerdo de unión civil,320000,115
Región de Tarapacá,35,Casado(a),1500000,34
Región de Coquimbo,54,Casado(a),450000,114
Región de Atacama,43,Casado(a),850000,26
Región de La Araucanía,45,Soltero(a),650000,61
Región del Biobío,49,Casado(a),270000,177
Región de Ñuble,37,Casado(a),1200000,36
Región del Libertador Gral. Bernardo O'Higgins,42,Casado(a),1300000,53
Región del Maule,56,Conviviente o pareja sin acuerdo de unión civil,320000,36
Región de Magallanes y de la Antártica Chilena,30,Conviviente o pareja sin acuerdo de unión civil,1200000,16
Región Metropolitana de Santiago,32,Conviviente o pareja sin acuerdo de unión civil,450000,229
Región de Antofagasta,55,Soltero(a),1200000,48
Región Metropolitana de Santiago,61,Conviviente o pareja sin acuerdo de unión civil,320000,249
Región de Los Ríos,49,Casado(a),350000,59
Región de Ñuble,27,Conviviente o pareja sin acuerdo de unión civil,427000,66
Región de La Araucanía,30,Conviviente o pareja sin acuerdo de unión civil,3100000,31
Región Metropolitana de Santiago,44,Casado(a),550000,238
Región Metropolitana de Santiago,45,Casado(a),601000,270
Región del Maule,35,Soltero(a),270000,106
Región de Magallanes y de la Antártica Chilena,29,Casado(a),1500000,33
Región de Antofagasta,58,Separado(a),580000,112
Región del Libertador Gral. Bernardo O'Higgins,59,Casado(a),250000,73
Región del Maule,47,Separado(a),550000,131
Región de Valparaíso,33,Soltero(a),123000,69
Región de La Araucanía,42,Separado(a),650000,80
Región del Maule,65,Casado(a),288000,62
Región de Los Ríos,34,Casado(a),350000,62
Región de Los Lagos,36,Conviviente o pareja sin acuerdo de unión civil,320000,71
Región Metropolitana de Santiago,29,Soltero(a),450000,205
Región Metropolitana de Santiago,27,Soltero(a),120000,60
Región del Maule,38,Soltero(a),450000,110
Región del Libertador Gral. Bernardo O'Higgins,41,Casado(a),360000,68
Región de Ñuble,44,Casado(a),1040000,68
Región Metropolitana de Santiago,39,Casado(a),1500000,129
Región del Maule,58,Casado(a),550000,114
Región Metropolitana de Santiago,46,Soltero(a),320000,221
Región del Maule,67,Casado(a),380000,73
Región de Ñuble,35,Conviviente o pareja sin acuerdo de unión civil,295000,41
Región de La Araucanía,61,Casado(a),250000,42
Región de Ñuble,27,Soltero(a),290000,81
Región de Tarapacá,34,Casado(a),880000,30
Región del Maule,64,Separado(a),380000,99
Región de Tarapacá,40,Soltero(a),160000,23
Región de Magallanes y de la Antártica Chilena,39,Soltero(a),599000,37
Región Metropolitana de Santiago,44,Soltero(a),581000,146
Región del Biobío,36,Soltero(a),350000,83
Región de Atacama,42,Casado(a),1200000,45
Región de Valparaíso,29,Casado(a),1300000,37
Región de La Araucanía,55,Casado(a),1350000,85
Región de La Araucanía,52,Casado(a),320000,72
Región del Libertador Gral. Bernardo O'Higgins,63,Casado(a),320000,52
Región de La Araucanía,35,Conviviente o pareja sin acuerdo de unión civil,350000,91
Región Metropolitana de Santiago,35,Conviviente o pareja sin acuerdo de unión civil,713000,148
Región de Los Ríos,52,Casado(a),360000,48
Región de Coquimbo,36,Soltero(a),430000,134
Región del Biobío,43,Casado(a),320000,76
Región de Tarapacá,21,Soltero(a),180000,53
Región del Maule,50,Casado(a),370000,28
Región Metropolitana de Santiago,60,Soltero(a),280000,272
Región de Atacama,71,Viudo(a),180000,43
Región de Coquimbo,65,Viudo(a),650000,154
Región del Libertador Gral. Bernardo O'Higgins,45,Separado(a),326500,53
Región de Atacama,23,Soltero(a),304000,60
Región del Libertador Gral. Bernardo O'Higgins,22,Soltero(a),190000,82
Región de Valparaíso,30,Soltero(a),1280000,59
Región de La Araucanía,44,Casado(a),320000,171
Región de Arica y Parinacota,28,Soltero(a),180000,22
Región del Maule,51,Separado(a),450000,67
Región del Biobío,39,Casado(a),1800000,80
Región de Antofagasta,69,Casado(a),350000,56
Región de Los Ríos,47,Separado(a),1819437,55
Región del Libertador Gral. Bernardo O'Higgins,55,Soltero(a),420000,70
Región de La Araucanía,18,Soltero(a),310000,33
Región Metropolitana de Santiago,59,Soltero(a),307000,192
Región de Los Lagos,58,Casado(a),328000,34
Región de Atacama,57,Casado(a),570000,38
Región de Tarapacá,26,Conviviente o pareja sin acuerdo de unión civil,420000,85
Región del Maule,24,Soltero(a),350000,79
Región Metropolitana de Santiago,50,Casado(a),750000,122
Región de Atacama,67,Casado(a),1400000,33
Región de Valparaíso,54,Casado(a),280000,174
Región Metropolitana de Santiago,32,Conviviente o pareja sin acuerdo de unión civil,590000,461
Región Metropolitana de Santiago,46,Conviviente o pareja sin acuerdo de unión civil,241000,272
Región de Antofagasta,55,Casado(a),1200000,85
Región del Libertador Gral. Bernardo O'Higgins,57,Casado(a),425000,61
Región de Antofagasta,49,Separado(a),360000,76
Región Metropolitana de Santiago,37,Conviviente o pareja sin acuerdo de unión civil,350000,60
Región de La Araucanía,27,Conviviente o pareja sin acuerdo de unión civil,170000,47
Región de Atacama,47,Soltero(a),550000,47
Región Metropolitana de Santiago,27,Soltero(a),1200000,57
Región de Los Lagos,26,Soltero(a),280000,85
Región del Biobío,53,Casado(a),580000,111
Región de Los Ríos,47,Separado(a),415000,87
Región de La Araucanía,74,Casado(a),180000,283
Región de Coquimbo,47,Soltero(a),230000,116
Región del Maule,52,Separado(a),120000,67
Región de La Araucanía,49,Conviviente o pareja sin acuerdo de unión civil,30000,70
Región del Libertador Gral. Bernardo O'Higgins,20,Soltero(a),380000,92
Región de Antofagasta,48,Viudo(a),256000,58
Región del Biobío,26,Soltero(a),390000,110
Región del Libertador Gral. Bernardo O'Higgins,46,Casado(a),320000,59
Región de Tarapacá,43,Separado(a),420000,35
Región de Magallanes y de la Antártica Chilena,44,Separado(a),470000,41
Región de Tarapacá,29,Separado(a),250000,26
Región del Biobío,64,Soltero(a),1800000,59
Región Metropolitana de Santiago,40,Casado(a),4500000,69
Región de Los Lagos,49,Conviviente o pareja sin acuerdo de unión civil,360000,12
Región Metropolitana de Santiago,67,Separado(a),430000,24
Región de Magallanes y de la Antártica Chilena,52,Casado(a),1200000,34
Región de Tarapacá,31,Casado(a),350000,53
Región de La Araucanía,47,Casado(a),450000,84
Región de Magallanes y de la Antártica Chilena,67,Viudo(a),180000,36
Región de Atacama,27,Conviviente o pareja sin acuerdo de unión civil,750000,31
Región de La Araucanía,65,Casado(a),1400000,109
Región Metropolitana de Santiago,29,Soltero(a),290000,243
Región del Biobío,35,Casado(a),230000,112
Región Metropolitana de Santiago,43,Conviviente o pareja sin acuerdo de unión civil,350000,342
Región Metropolitana de Santiago,40,Casado(a),1900000,199
Región del Maule,50,Casado(a),310000,41
Región del Biobío,56,Casado(a),380000,75
Región de Los Lagos,48,Casado(a),325000,97
Región de Valparaíso,68,Casado(a),280000,81
Región de Magallanes y de la Antártica Chilena,45,Casado(a),340000,39
Región del Biobío,32,Casado(a),720000,77
Región Metropolitana de Santiago,24,Conviviente o pareja sin acuerdo de unión civil,270000,204
Región Metropolitana de Santiago,39,Casado(a),280000,221
Región del Maule,49,Casado(a),350000,39
Región Metropolitana de Santiago,36,Casado(a),1200000,722
Región Metropolitana de Santiago,65,Conviviente o pareja sin acuerdo de unión civil,280000,185
Región del Libertador Gral. Bernardo O'Higgins,62,Divorciado (a),350000,60
Región del Biobío,23,Soltero(a),270000,75
Región de Los Lagos,50,Casado(a),1200000,83
Región del Biobío,37,Separado(a),326000,29
Región de Valparaíso,34,Soltero(a),140000,275
Región de La Araucanía,44,Soltero(a),56000,85
Región de Valparaíso,32,Conviviente o pareja sin acuerdo de unión civil,450000,116
Región del Biobío,36,Casado(a),1500000,4
Región de Valparaíso,58,Soltero(a),326000,98
Región de Aysén del Gral. Carlos Ibáñez del Campo,53,Conviviente o pareja sin acuerdo de unión civil,1100000,18
Región de Magallanes y de la Antártica Chilena,22,Soltero(a),90000,26
Región Metropolitana de Santiago,38,Soltero(a),60000,160
Región de Tarapacá,34,Conviviente civil (con acuerdo de unión civil),1800000,55
Región de Aysén del Gral. Carlos Ibáñez del Campo,28,Soltero(a),360000,16
Región del Maule,37,Separado(a),583000,60
Región de Ñuble,26,Soltero(a),970000,12
Región de Coquimbo,29,Conviviente o pareja sin acuerdo de unión civil,320000,176
Región de Coquimbo,45,Conviviente o pareja sin acuerdo de unión civil,560000,192
Región de Atacama,55,Casado(a),650000,99
Región de La Araucanía,47,Soltero(a),420000,96
Región de Valparaíso,29,Soltero(a),270000,81
Región del Biobío,33,Conviviente o pareja sin acuerdo de unión civil,620000,89
Región del Libertador Gral. Bernardo O'Higgins,28,Soltero(a),350000,64
Región de Arica y Parinacota,52,Soltero(a),180000,52
Región de Aysén del Gral. Carlos Ibáñez del Campo,54,Casado(a),225000,17
Región Metropolitana de Santiago,46,Conviviente o pareja sin acuerdo de unión civil,460000,221
Región de Coquimbo,29,Conviviente o pareja sin acuerdo de unión civil,420000,157
Región Metropolitana de Santiago,37,Soltero(a),1600000,195
Región Metropolitana de Santiago,30,Casado(a),460000,191
Región de Los Lagos,30,Conviviente o pareja sin acuerdo de unión civil,450000,311
Región del Biobío,31,Conviviente o pareja sin acuerdo de unión civil,750000,48
Región Metropolitana de Santiago,44,Conviviente o pareja sin acuerdo de unión civil,320000,210
Región Metropolitana de Santiago,43,Separado(a),430000,162
Región de Los Ríos,62,Casado(a),586000,58
Región Metropolitana de Santiago,45,Conviviente o pareja sin acuerdo de unión civil,750000,148
Región de Los Lagos,47,Casado(a),320000,87
Región de Coquimbo,57,Casado(a),750000,24
Región Metropolitana de Santiago,29,Soltero(a),790000,238
Región de La Araucanía,36,Soltero(a),650000,93
Región de Magallanes y de la Antártica Chilena,30,Soltero(a),1200000,15
Región de Valparaíso,32,Casado(a),315000,163
Región de Aysén del Gral. Carlos Ibáñez del Campo,51,Casado(a),180000,12
Región Metropolitana de Santiago,27,Soltero(a),280000,92
Región Metropolitana de Santiago,46,Casado(a),440000,69
Región de Valparaíso,51,Casado(a),1500000,103
Región del Maule,30,Soltero(a),320000,83
Región Metropolitana de Santiago,30,Conviviente o pareja sin acuerdo de unión civil,3200000,140
Región de Antofagasta,37,Divorciado (a),280000,58
Región de Magallanes y de la Antártica Chilena,30,Casado(a),1200000,29
Región Metropolitana de Santiago,31,Soltero(a),1500000,89
Región de Arica y Parinacota,39,Divorciado (a),450000,44
Región de Aysén del Gral. Carlos Ibáñez del Campo,40,Casado(a),2800000,30
Región del Libertador Gral. Bernardo O'Higgins,34,Casado(a),1700000,70
Región de Magallanes y de la Antártica Chilena,33,Conviviente o pareja sin acuerdo de unión civil,650000,41
Región de Los Lagos,54,Casado(a),360000,89
Región Metropolitana de Santiago,32,Conviviente o pareja sin acuerdo de unión civil,320000,305
Región del Libertador Gral. Bernardo O'Higgins,28,Soltero(a),350000,123
Región Metropolitana de Santiago,62,Casado(a),1200000,82
Región de Ñuble,47,Conviviente o pareja sin acuerdo de unión civil,379000,75
Región de Atacama,29,Conviviente o pareja sin acuerdo de unión civil,850000,26
Región de Coquimbo,73,Soltero(a),20000,51
Región de Ñuble,55,Soltero(a),350000,416
Región del Biobío,42,Casado(a),1300000,365
Región de La Araucanía,63,Soltero(a),320000,71
Región Metropolitana de Santiago,31,Conviviente o pareja sin acuerdo de unión civil,230000,75
Región Metropolitana de Santiago,30,Soltero(a),1500000,688
Región del Libertador Gral. Bernardo O'Higgins,36,Soltero(a),259000,64
Región de Los Lagos,26,Conviviente o pareja sin acuerdo de unión civil,470000,33
Región de Magallanes y de la Antártica Chilena,39,Casado(a),390000,28
Región de Arica y Parinacota,33,Casado(a),550000,156
Región del Libertador Gral. Bernardo O'Higgins,65,Casado(a),350000,80
Región de Aysén del Gral. Carlos Ibáñez del Campo,62,Casado(a),290000,12
Región del Libertador Gral. Bernardo O'Higgins,32,Casado(a),2100000,59
Región de Antofagasta,33,Conviviente o pareja sin acuerdo de unión civil,350000,169
Región de Los Ríos,30,Soltero(a),1100000,52
Región de Los Lagos,58,Casado(a),340000,65
Región Metropolitana de Santiago,39,Soltero(a),350000,239
Región del Biobío,39,Conviviente o pareja sin acuerdo de unión civil,326000,64
Región Metropolitana de Santiago,41,Conviviente o pareja sin acuerdo de unión civil,460000,121
Región del Biobío,56,Separado(a),330000,110
Región del Maule,52,Casado(a),330000,72
Región de Magallanes y de la Antártica Chilena,38,Casado(a),320000,42
Región Metropolitana de Santiago,36,Conviviente o pareja sin acuerdo de unión civil,290000,162
Región del Libertador Gral. Bernardo O'Higgins,46,Separado(a),206000,44
Región de Los Lagos,56,Casado(a),330000,46
Región de Los Lagos,39,Conviviente o pareja sin acuerdo de unión civil,1500000,74
Región de Los Ríos,44,Conviviente o pareja sin acuerdo de unión civil,1100000,68
Región de Valparaíso,25,Conviviente o pareja sin acuerdo de unión civil,180000,66
Región de Tarapacá,24,Soltero(a),250000,46
Región Metropolitana de Santiago,62,Casado(a),320000,281
Región de Los Lagos,53,Soltero(a),319000,91
Región Metropolitana de Santiago,21,Conviviente o pareja sin acuerdo de unión civil,340000,124
Región del Libertador Gral. Bernardo O'Higgins,21,Soltero(a),296000,97
Región Metropolitana de Santiago,28,Soltero(a),320000,204
Región de Valparaíso,59,Soltero(a),320000,130
Región de Antofagasta,47,Conviviente o pareja sin acuerdo de unión civil,1100000,55
Región de Magallanes y de la Antártica Chilena,50,Soltero(a),850000,39
Región de Aysén del Gral. Carlos Ibáñez del Campo,42,Soltero(a),2500000,16
Región de Aysén del Gral. Carlos Ibáñez del Campo,40,Casado(a),150000,44
Región de Coquimbo,56,Soltero(a),320000,109
Región de Antofagasta,44,Casado(a),1500000,116
Región de Los Lagos,66,Casado(a),270000,56
Región de Los Lagos,46,Soltero(a),390000,69
Región Metropolitana de Santiago,48,Casado(a),340000,100
Región Metropolitana de Santiago,24,Soltero(a),550000,135
Región Metropolitana de Santiago,40,Soltero(a),350000,155
Región Metropolitana de Santiago,36,Casado(a),589000,183
Región del Biobío,28,Conviviente o pareja sin acuerdo de unión civil,270000,96
Región de Los Ríos,35,Conviviente o pareja sin acuerdo de unión civil,325000,60
Región Metropolitana de Santiago,25,Soltero(a),450000,294
Región de Atacama,38,Soltero(a),1200000,42
Región Metropolitana de Santiago,61,Soltero(a),1700000,103
Región de Los Ríos,59,Casado(a),340000,62
Región de Tarapacá,58,Soltero(a),350000,29
Región de La Araucanía,20,Soltero(a),60000,76
Región del Biobío,44,Casado(a),350000,45
Región de Coquimbo,52,Separado(a),587000,151
Región Metropolitana de Santiago,34,Conviviente o pareja sin acuerdo de unión civil,720000,456
Región del Maule,42,Casado(a),310000,68
Región Metropolitana de Santiago,43,Casado(a),330000,269
Región del Maule,33,Soltero(a),450000,104
Región Metropolitana de Santiago,75,Conviviente o pareja sin acuerdo de unión civil,320000,481
Región Metropolitana de Santiago,46,Casado(a),2700000,170
Región de Valparaíso,52,Casado(a),520000,150
Región Metropolitana de Santiago,62,Soltero(a),570000,196
Región de Tarapacá,40,Casado(a),650000,36
Región de Valparaíso,57,Casado(a),320000,26
Región Metropolitana de Santiago,34,Conviviente o pareja sin acuerdo de unión civil,1300000,92
Región del Maule,69,Casado(a),280000,33
Región del Biobío,54,Soltero(a),365000,49
Región de Ñuble,29,Soltero(a),859000,69
Región de Los Ríos,36,Separado(a),450000,48
Región del Biobío,41,Conviviente o pareja sin acuerdo de unión civil,450000,42
Región de Valparaíso,36,Conviviente o pareja sin acuerdo de unión civil,380000,101
Región de Valparaíso,35,Soltero(a),390000,118
Región Metropolitana de Santiago,80,Casado(a),180000,193
Región de Los Ríos,41,Casado(a),350000,31
Región de Ñuble,56,Casado(a),310000,152
Región de Valparaíso,21,Soltero(a),350000,114
Región de Coquimbo,57,Soltero(a),1500000,140
Región del Libertador Gral. Bernardo O'Higgins,54,Casado(a),350000,60
Región de Coquimbo,18,Soltero(a),320000,63
Región del Maule,58,Soltero(a),320500,43
Región del Maule,43,Soltero(a),320000,92
Región del Biobío,44,Casado(a),310000,109
Región del Biobío,41,Casado(a),1500000,120
Región de La Araucanía,65,Casado(a),3500000,84
Región de Atacama,26,Soltero(a),885000,26
Región de Valparaíso,30,Soltero(a),710000,303
Región de Valparaíso,30,Conviviente o pareja sin acuerdo de unión civil,1250000,82
Región de Valparaíso,54,Soltero(a),145000,78
Región de Coquimbo,19,Soltero(a),20000,102
Región de Atacama,30,Soltero(a),650000,53
Región Metropolitana de Santiago,29,Conviviente o pareja sin acuerdo de unión civil,450000,502
Región Metropolitana de Santiago,63,Divorciado (a),470000,230
Región del Biobío,42,Conviviente o pareja sin acuerdo de unión civil,320000,94
Región del Maule,22,Soltero(a),320000,133
Región Metropolitana de Santiago,43,Conviviente o pareja sin acuerdo de unión civil,350000,450
Región de Antofagasta,63,Soltero(a),430000,74
Región del Biobío,37,Casado(a),1600000,182
Región de Magallanes y de la Antártica Chilena,31,Separado(a),380000,28
Región de Tarapacá,38,Casado(a),1400000,46
Región Metropolitana de Santiago,67,Viudo(a),380000,65
Región Metropolitana de Santiago,70,Soltero(a),120000,192
Región de Tarapacá,64,Soltero(a),120000,38
Región de Antofagasta,45,Casado(a),270000,82
Región del Libertador Gral. Bernardo O'Higgins,67,Casado(a),326500,61
Región de Valparaíso,52,Separado(a),350000,132
Región del Biobío,56,Separado(a),263000,133
Región Metropolitana de Santiago,19,Soltero(a),380000,206
Región Metropolitana de Santiago,46,Conviviente o pareja sin acuerdo de unión civil,890000,194
Región de Tarapacá,25,Conviviente o pareja sin acuerdo de unión civil,1200000,44
Región de Los Ríos,54,Casado(a),1800000,53
Región del Biobío,32,Soltero(a),320000,87
Región de Valparaíso,36,Casado(a),350000,154
Región de Aysén del Gral. Carlos Ibáñez del Campo,45,Conviviente o pareja sin acuerdo de unión civil,1800000,30
Región del Maule,30,Conviviente o pareja sin acuerdo de unión civil,120000,77
Región de Los Lagos,42,Soltero(a),90000,76
Región Metropolitana de Santiago,31,Conviviente o pareja sin acuerdo de unión civil,480000,205
Región Metropolitana de Santiago,36,Soltero(a),280000,151
Región de Antofagasta,67,Soltero(a),390000,139
Región del Biobío,42,Soltero(a),350000,64
Región de Atacama,24,Conviviente o pareja sin acuerdo de unión civil,480000,50
Región de Ñuble,47,Separado(a),301000,25
Región Metropolitana de Santiago,46,Casado(a),319000,222
Región de Magallanes y de la Antártica Chilena,45,Conviviente o pareja sin acuerdo de unión civil,1400000,41
Región del Libertador Gral. Bernardo O'Higgins,31,Soltero(a),310000,61
Región de Ñuble,52,Separado(a),320000,78
Región Metropolitana de Santiago,27,Soltero(a),1300000,79
Región Metropolitana de Santiago,60,Casado(a),160000,214
Región Metropolitana de Santiago,65,Viudo(a),1170000,136
Región de Valparaíso,21,Soltero(a),90000,157
Región Metropolitana de Santiago,46,Conviviente o pareja sin acuerdo de unión civil,395000,184
Región de Magallanes y de la Antártica Chilena,51,Conviviente o pareja sin acuerdo de unión civil,1600000,29
Región del Biobío,35,Conviviente o pareja sin acuerdo de unión civil,774000,111
Región de Coquimbo,45,Soltero(a),350000,146
Región de Los Ríos,37,Conviviente o pareja sin acuerdo de unión civil,850000,91
Región de Tarapacá,42,Casado(a),570000,44
Región de Los Ríos,49,Separado(a),340000,30
Región de Ñuble,54,Casado(a),350000,80
Región de Los Lagos,38,Soltero(a),270000,227
Región Metropolitana de Santiago,23,Conviviente o pareja sin acuerdo de unión civil,250000,232
Región de Los Lagos,50,Divorciado (a),30000,46
Región Metropolitana de Santiago,41,Casado(a),1800000,126
Región de Los Ríos,41,Soltero(a),2400000,52
Región Metropolitana de Santiago,26,Conviviente o pareja sin acuerdo de unión civil,380000,171
Región del Biobío,62,Casado(a),2100000,90
Región Metropolitana de Santiago,63,Conviviente o pareja sin acuerdo de unión civil,184000,579
Región de Ñuble,27,Conviviente o pareja sin acuerdo de unión civil,370000,73
Región de Ñuble,45,Conviviente o pareja sin acuerdo de unión civil,325000,41
Región Metropolitana de Santiago,59,Separado(a),435000,74
Región del Libertador Gral. Bernardo O'Higgins,25,Soltero(a),570000,91
Región de Los Lagos,52,Soltero(a),120000,63
Región de Valparaíso,57,Soltero(a),320000,81
Región de Coquimbo,30,Casado(a),1500000,101
Región de Aysén del Gral. Carlos Ibáñez del Campo,33,Conviviente o pareja sin acuerdo de unión civil,250000,16
Región de Tarapacá,50,Conviviente o pareja sin acuerdo de unión civil,280000,35
Región de Los Lagos,60,Conviviente o pareja sin acuerdo de unión civil,250000,50
Región Metropolitana de Santiago,46,Divorciado (a),650000,274
Región Metropolitana de Santiago,51,Casado(a),350000,191
Región del Biobío,65,Casado(a),320000,29
Región del Libertador Gral. Bernardo O'Higgins,50,Soltero(a),319000,91
Región del Biobío,40,Casado(a),1100000,61
Región de Atacama,40,Casado(a),1300000,71
Región del Libertador Gral. Bernardo O'Higgins,30,Soltero(a),340000,39
Región de Los Lagos,46,Separado(a),420000,86
Región Metropolitana de Santiago,42,Separado(a),326000,161
Región de Tarapacá,40,Separado(a),380000,50
Región de Los Lagos,59,Casado(a),450000,48
Región de Coquimbo,52,Casado(a),1400000,87
Región de Coquimbo,53,Casado(a),1900000,90
Región de Valparaíso,26,Conviviente o pareja sin acuerdo de unión civil,694109,122
Región Metropolitana de Santiago,54,Conviviente o pareja sin acuerdo de unión civil,320500,194
Región del Biobío,56,Casado(a),280000,71
Región del Biobío,49,Divorciado (a),1250000,70
Región Metropolitana de Santiago,26,Conviviente o pareja sin acuerdo de unión civil,280000,201
Región Metropolitana de Santiago,58,Separado(a),1650000,341
Región Metropolitana de Santiago,40,Conviviente o pareja sin acuerdo de unión civil,1100000,79
Región del Maule,18,Soltero(a),50000,82
Región de Aysén del Gral. Carlos Ibáñez del Campo,41,Conviviente o pareja sin acuerdo de unión civil,1150000,15
Región de Tarapacá,26,Conviviente o pareja sin acuerdo de unión civil,350000,36
Región de Ñuble,27,Soltero(a),270000,12
Región del Biobío,39,Conviviente o pareja sin acuerdo de unión civil,2600000,111
Región del Biobío,32,Conviviente o pareja sin acuerdo de unión civil,450000,70
Región del Biobío,49,Casado(a),1200000,33
Región del Biobío,22,Soltero(a),120000,77
Región Metropolitana de Santiago,35,Casado(a),1600000,97
Región de Coquimbo,56,Soltero(a),350000,56
Región de Los Ríos,21,Soltero(a),280000,40
Región de Tarapacá,51,Divorciado (a),1300000,27
Región de Valparaíso,26,Soltero(a),310000,100
Región Metropolitana de Santiago,48,Conviviente o pareja sin acuerdo de unión civil,2500000,219
Región de Aysén del Gral. Carlos Ibáñez del Campo,59,Casado(a),350000,10
