serial_number,list_year,date_recorded,town,address,assessed_value,sale_amount,residential_type,non_use_code,assessor_remarks
1600044,2016,05/01/2017,Sterling,36 DEERFIELD SHORES,51860,17673,Single Family,26 - Rehabilitation Deferred,COTTAGE BUILT 1966 ON 0.46 ACRES
170033,2017,01/26/2018,East Granby,44 HEMLOCK ROAD,84400,142000,Single Family,07 - Change in Property,RATIO TOO LOW
1700432,2017,07/03/2018,East Haven,19 LENOX ST,106440,111000,Single Family,25 - Other,RATIO TOO HIGH
1700391,2017,06/11/2018,East Haven,25 JOHN ST,116820,135000,Single Family,25 - Other,RATIO TOO HIGH
170958,2017,09/14/2018,New Haven,402 LEXINGTON AV,109550,32500,Single Family,25 - Other,BELOW MARKET
160072,2016,06/08/2017,Preston,24 KENDALL RD,89300,85000,Single Family,25 - Other,24 KENDALL RD
17096,2017,02/16/2018,Montville,18 JEROME AVE,109510,82000,Single Family,25 - Other,SALES RATIO
171004,2017,03/12/2018,Bridgeport,82 BENHAM AVE,144720,130000,Four Family,25 - Other,SOLD BELOW MARKET VALUE
1700016,2017,10/11/2017,East Haven,184 CHARTER OAK AVE,120270,132000,Two Family,25 - Other,Ratio too high
16040,2016,01/18/2017,North Stonington,LAKESIDE DR,73640,35000,Single Family,25 - Other,CAMP IN POOR CONDITION
170170,2017,05/14/2018,Bloomfield,185 WEST NEWBERRY RD,172760,500000,Single Family,25 - Other,BOUGHT 2 PROPERTIES
170050,2017,10/10/2017,Bridgeport,1533 PARK AVE,139780,159481,Three Family,25 - Other,BELOW MARKET VALUE
170035,2017,10/26/2017,New Haven,289 WILLOW STREET,293580,275000,Single Family,25 - Other,BELOW MARKEt
17146,2017,05/24/2018,Mansfield,47 LIBERTY DR,171600,210000,Condo,25 - Other,VILLAGES@FREEDOM GREEN
160043,2016,12/05/2016,Putnam,7 ROWE ST,159800,145000,Single Family,07 - Change in Property,2 Single  Families on 1 parcel
1700404,2017,06/18/2018,East Haven,30 SILVER SANDS RD #A4,159250,160000,Condo,25 - Other,RATIO TOO HIGH
1700049,2017,10/27/2017,East Haven,110 CREST AVE,95560,82500,Single Family,25 - Other,RATIO TOO HIGH
160078,2016,11/07/2016,Torrington,88 WOODSIDE CIR,57780,65000,Condo,25 - Other,A/S=.89
16099,2016,12/13/2016,Wethersfield,218 FOREST DR,139200,114000,Single Family,25 - Other,SALE PRICE TO LOW
171511,2017,06/14/2018,Bridgeport,560-562 GARFIELD AVE,129755,397500,Two Family,07 - Change in Property,OUT OF SEQUENCE
17092,2017,11/20/2017,Newington,136 CHURCHILL DR,111790,122000,Condo,25 - Other,Sale is not between a willing buye and a willing seller
170368,2017,02/01/2018,New Haven,59 BASSETT ST,120820,147000,Two Family,25 - Other,BELOW MARKET
160249,2016,09/05/2017,Voluntown,41 BENNETT CIRCLE,205050,290000,Single Family,25 - Other,"3 PARCELS SOLD, ON ONE DEED"
17350,2017,02/21/2018,Hartford,463 ALBANY AV,53760,63500,Single Family,14 - Foreclosure,Foreclosure related sale
170258,2017,08/23/2018,Clinton,58 SHORE RD,118300,66000,Single Family,25 - Other,SOLD WITH 65 SHORE RD - THIS PARCEL HAS GARAGE ONLY
1700138,2017,12/27/2017,New Milford,92 ELM ST EXT,145810,247500,Single Family,25 - Other,SALES RATIO
1700342,2017,05/01/2018,New Milford,37 SAWYER HILL RD,165830,47000,Single Family,25 - Other,SALES  RATIO
170058,2017,11/03/2017,New Haven,25 DONNA DR UNIT A-3,20650,8000,Condo,25 - Other,BELOW MARKET
160174,2016,12/27/2016,Torrington,348 LEDGE DR,59630,128500,Condo,07 - Change in Property,A/S=.46
170018,2017,10/18/2017,New Haven,133 SCRANTON STREET,166740,144000,Four Family,25 - Other,BELOW MARKEt
170935,2017,09/27/2018,Killingly,10 HILLSIDE TERRACE,28910,6000,Single Family,25 - Other,MOBILE HOME
170165,2017,03/21/2018,New London,787 PEQUOT AVE,540820,320000,Single Family,25 - Other,RATIO - SOLD WITH BEACH RIGHTS
170065,2017,11/02/2017,New Haven,352 HOWARD AVENUE,100870,120000,Three Family,14 - Foreclosure,BELOW MARKET
170599,2017,08/24/2018,Branford,39 GOULD LA,253400,280000,Single Family,14 - Foreclosure,SALE OF BANK OWNED PROPERTY
160101,2016,09/07/2017,Preston,7 KENDALL RD,103200,75000,Single Family,25 - Other,7 KENDALL RD
1700289,2017,04/17/2018,East Haven,179 COSEY BEACH RD,190010,260000,Single Family,07 - Change in Property,RATIO TOO HIGH
160045,2016,02/23/2017,Preston,34 RADLER RD,11240,60000,Single Family,25 - Other,34 RADLER RD
17035,2017,02/16/2018,Deep River,138 RIVER ST,163800,166138,Single Family,14 - Foreclosure,PURCHASED FORECLOSED PROPERTY
160456,2016,01/26/2017,Norwalk,11 NORDEN PL,88450,150032,Condo,25 - Other,UNIT 12
160181,2016,12/29/2016,Torrington,1347 TORRINGFORD W ST,111450,115000,Single Family,25 - Other,A/S=.97
170215,2017,02/23/2018,Killingly,304 BAILEY HILL RD,17010,10000,Single Family,25 - Other,MOBILE HOME
160026,2016,12/07/2016,Preston,42D LYNN DR,113300,87000,Single Family,14 - Foreclosure,42D LYNN DR
17022,2017,01/26/2018,Barkhamsted,181 W WEST HILL RD,93940,65000,Single Family,07 - Change in Property,800 SQ FT 1954 CONVENTIONAL HOME ON 1/4 AC
160072,2016,11/04/2016,Torrington,594 KENNEDY DR,105780,178000,Single Family,07 - Change in Property,A/S=.59
160085,2016,03/24/2017,Windsor Locks,152 GROVE ST,83100,169900,Single Family,07 - Change in Property,SALES RATIO
170714,2017,06/28/2018,Hamden,56 SIDEHILL RD,183890,274000,Single Family,25 - Other,SOLD ON THE SAME DAY; DIFFERENT OWNERS
170115,2017,10/19/2017,Bridgeport,275 HARLEM AVE,103330,100000,Single Family,25 - Other,SOLD BELOW MARKET VALUE
170026,2017,10/20/2017,Cheshire,3 WILLOWBROOK DR,181480,142000,Single Family,25 - Other,needs maintenance/elderly
170044,2017,10/30/2017,New Haven,121 POND LILY AVENUE,108430,95000,Single Family,25 - Other,BELOW MARKET
170048,2017,10/31/2017,New Haven,865 WHALLEY AVENUE,239890,210000,Two Family,25 - Other,BELOW MARKET
1700390,2017,06/04/2018,New Milford,110 PAPER MILL RD,279160,250000,Single Family,25 - Other,SALES RATIO
17876,2017,09/17/2018,Hartford,37 WARD ST,45570,104200,Three Family,25 - Other,Motivated Seller Below market
170416,2017,12/13/2017,Bridgeport,69 SEAVER CIRCLE,129610,89228,Single Family,25 - Other,SOLD BELOW MARKET VALUE
170254,2017,01/19/2018,New Haven,71 BRISTOL STREET,158550,195000,Two Family,25 - Other,BELOW MARKET
160029,2016,10/16/2016,Torrington,1060 MOUNTAIN RD,146200,170000,Single Family,25 - Other,A/S=.86
1700096,2017,11/27/2017,East Haven,28 EDGEHILL DR,123600,150000,Single Family,25 - Other,RATIO TOO HIGH
17103,2017,06/20/2018,Haddam,66 DICKINSON RD,103090,35000,Single Family,25 - Other,TRUSTEE DEED
1700120,2017,12/12/2017,East Haven,533 SILVER SANDS RD,121220,154000,Single Family,25 - Other,RATIO TOO HIGH
1700372,2017,06/01/2018,East Haven,20 SIBLEY LN,174460,230000,Single Family,25 - Other,RATIO TOO HIGH
1700391,2017,06/04/2018,New Milford,6 NORTH VALLEY RD,176400,299900,Single Family,07 - Change in Property,SALES RATIO
170003,2017,10/02/2017,Groton,1290 NORTH RD LOT 49,11480,2500,Single Family,25 - Other,MOBILE HOME SENDING SALES QUESTIONNAIRE
17652,2017,07/02/2018,Hartford,173 ZION ST,23870,37000,Single Family,25 - Other,Motivated Seller Below market
160021,2016,10/31/2016,Windsor Locks,524 WOODLAND ST,108200,95000,Single Family,25 - Other,SALES RATIO
170512,2017,04/05/2018,New Haven,668 QUINNIPIAC AV UNIT B4,129290,72000,Condo,25 - Other,BELOW MARKET SALE
160035,2016,11/18/2016,Windsor Locks,57 SUFFIELD ST,93500,212000,Single Family,07 - Change in Property,SALES RATIO
1700036,2017,10/20/2017,New Milford,27 TOWN FARM RD,146860,172000,Single Family,25 - Other,SALES RATIO
170003,2017,10/10/2017,Killingworth,10 COUNTRY CLUB TRAIL,103480,186540,Single Family,07 - Change in Property,C/O ISSUED AFTER 10/01
160832,2016,05/17/2017,Waterbury,305 MORAN ST,75830,42500,Two Family,25 - Other,INCLDS VAC LOT ASSESSED AT 19590
170955,2017,09/11/2018,New Haven,113 IVY ST,118790,115000,Three Family,25 - Other,BELOW MARKET INCLUDES VACANT LOT 109 IVY ST
17880,2017,09/19/2018,Hartford,89 FLATBUSH AV,62580,75000,Three Family,25 - Other,Motivated Seller Below market
17581,2017,05/29/2018,Hartford,375 BLUE HILLS AV,55650,117500,Two Family,25 - Other,Motivated Seller Below market
170133,2017,02/20/2018,New London,165 ONECO AVE,103390,3000000,Four Family,24 - Plottage,"SOLD ON SAME DEED 157, 161 171 151 ONECO AVE"
170640,2017,01/25/2018,Bridgeport,44-46 WORTH ST,152350,140500,Three Family,25 - Other,SOLD BELOW MARKET VALUE
170054,2017,10/11/2017,Bridgeport,236 BUNNELL ST,96620,86000,Single Family,25 - Other,BELOW MARKET VALUE
160299,2016,03/15/2017,Torrington,SURREY LN UNIT F43,42530,75000,Condo,25 - Other,A/S=.57
17912,2017,09/28/2018,Hartford,128 NEWFIELD AV,57085,84000,Single Family,25 - Other,Motivated Seller Below market
17472,2017,04/10/2018,Hartford,102 HUNGERFORD ST,66920,150000,Three Family,25 - Other,Motivated Seller Below market
160048,2016,12/19/2016,Windsor Locks,506 ASH DR,117100,240800,Single Family,07 - Change in Property,SALES RATIO
170034,2017,10/24/2017,New Haven,50 CHAMBERLAIN STREET,100030,55000,Single Family,25 - Other,BELOW MARKET
1700157,2017,01/08/2018,East Haven,161 COSEY BEACH RD #2,91710,90000,Condo,25 - Other,RATIO TOO HIGH
160278,2016,03/02/2017,Torrington,1340 HIGHLAND AVE,116980,145000,Single Family,25 - Other,A/S=.81
1700496,2017,07/25/2018,New Milford,640 KENT RD,245560,180000,Single Family,25 - Other,SALES RATIO
170473,2017,11/22/2017,Milford,87 MILLER AVE,204880,197500,Single Family,25 - Other,LOW SALE FOR NEIGHBORHOOD
160014,2016,10/11/2016,Torrington,27 LAURELTON DR,120620,129000,Single Family,25 - Other,A/S=.94
1700382,2017,05/30/2018,New Milford,3 TERRACE PL CONDO,54740,66900,Condo,25 - Other,SALES RATIO
17338,2017,08/31/2018,Montville,340 GAY HILL RD,111410,107200,Single Family,25 - Other,SALES RATIO
1700105,2017,12/04/2017,East Haven,56 ROSE ST,163650,207000,Single Family,14 - Foreclosure,Ratio Too High
170495,2017,05/11/2018,New Haven,650 WOODWARD AVENUE,104300,163000,Single Family,25 - Other,Below Market
1700060,2017,11/03/2017,East Haven,559 SILVER SANDS RD,90200,115500,Single Family,25 - Other,RATIO TOO HIGH
160228,2016,01/25/2017,Torrington,23 WILLIAMS AVE,69920,79000,Single Family,25 - Other,A/S=.89
1600022,2016,12/13/2016,Sterling,1030 PLAINFIELD PIKE,90590,27000,Two Family,25 - Other,1.38 ACRES WITH MOBILE HOME AND TWO FAMILY HOUSE BUILT 1930
179558,2017,05/25/2018,New Haven,266 HIGHLAND STREET,82810,75000,Two Family,25 - Other,BELOW MARKET
17045,2017,03/27/2018,Columbia,339 ROUTE 66 SOUTH,146610,390000,Single Family,28 - Use Assessment,CODE 600.
1700581,2017,08/27/2018,New Milford,64 WEST ST,167180,164000,Single Family,25 - Other,SALES RATIO
1600037,2016,04/10/2017,Sterling,14 MILLER RD,135110,78000,Single Family,14 - Foreclosure,CAPE BUILT IN 1968 ON 6 ACRES
1700077,2017,11/09/2017,New Milford,119 MTN VIEW DR,162750,190000,Single Family,25 - Other,SALES RATIO
170108,2017,10/18/2017,Bridgeport,521 CONNECTICUT AVE,114200,114000,Two Family,25 - Other,SOLD BELOW MARKET VALUE
171001,2017,03/09/2018,Bridgeport,531 CHOPSEY HILL RD,97860,149900,Single Family,25 - Other,DISTRESS SALE
17525,2017,05/02/2018,Hartford,56 LINCOLN ST,66535,136000,Two Family,14 - Foreclosure,Motivated Seller Below market
17054,2017,11/30/2017,Montville,47 MAPLE AVE,134870,128000,Single Family,25 - Other,SALES RATIO
1700097,2017,06/14/2018,Middlebury,49 BIRCHWOOD TERR,185500,200000,Single Family,25 - Other,Ranch
160109,2016,01/09/2017,Simsbury,7 RED STONE DRIVE,163980,306000,Single Family,07 - Change in Property,PREVIOUS SALE WAS FROM FORECLOSURE - FLIPPED
170215,2017,03/19/2018,Naugatuck,468 WOOSTER STREET,176550,159000,Single Family,26 - Rehabilitation Deferred,ARMS LENGTH SALE
170075,2017,10/13/2017,Bridgeport,30 ACTON RD,145010,170000,Single Family,25 - Other,BELOW MARKET VALUE
17121,2017,12/15/2017,Newington,34 GILBERT ROAD,124620,141000,Single Family,25 - Other,Sale is not an arms length transaction between a willing buyer and a willing seller
17461,2017,04/04/2018,Hartford,166 CLEVELAND AV,37065,35000,Single Family,25 - Other,Motivated Seller Below market
1700135,2017,12/26/2017,New Milford,4 SOUTH AVE,168630,195000,Single Family,07 - Change in Property,SALES RATIO
160008,2016,10/07/2016,Windsor Locks,56 ELM CORNERS #A,43000,43000,Condo,25 - Other,SALES RATIO
160052,2016,12/22/2016,Windsor Locks,358 REED AVE,100800,35000,Single Family,07 - Change in Property,SALES RATIO
1700125,2017,12/14/2017,New Milford,19 FIDDLEHEAD RD,115570,250700,Condo,07 - Change in Property,SALES RATIO
171061,2017,06/04/2018,Norwalk,43 WITCH LN,543580,1160000,Single Family,07 - Change in Property,6-32B-21-0
1700062,2017,11/03/2017,East Haven,150 GEORGE ST,82230,80000,Single Family,25 - Other,RATIO TOO HIGH
17178,2017,12/11/2017,Hartford,54 HENRY ST,70000,176500,Three Family,25 - Other,Motivated Seller Below market
170494,2017,09/26/2018,New London,281 GARDNER AVE F3,49700,22000,Condo,25 - Other,SALES RATIO
170139,2017,12/04/2017,New Haven,26 KOHARY DRIVE,184660,195000,Single Family,25 - Other,BELOW MARKET
17550,2017,05/17/2018,Hartford,25 POMFRET ST,46550,105000,Single Family,25 - Other,Motivated Seller Below market
1700011,2017,10/05/2017,New Milford,72 BONNIE VU LN,242900,300000,Single Family,25 - Other,SALES RATIO
17818,2017,08/29/2018,Hartford,256 CAPEN ST,43820,85000,Two Family,25 - Other,Motivated Seller Below market
17065,2017,04/19/2018,New Hartford,38 CEDAR LANE,127260,110000,Single Family,25 - Other,SENT SALES VERIFICATION
17030,2017,12/07/2017,New Hartford,184 WEST HILL ROAD,177520,215000,Single Family,07 - Change in Property,SENT SALES VERIFICATION
17712,2017,07/18/2018,Hartford,456 CAMPFIELD AV,62300,120000,Single Family,25 - Other,Motivated Seller Below market
1700172,2017,01/22/2018,New Milford,43 BEARD DR,132930,185000,Condo,07 - Change in Property,SOLD WITHIN 6 MONTHS
170753,2017,07/12/2018,New Haven,139 FOXON HILL RD,126140,110000,Single Family,25 - Other,BELOW MARKET
1700123,2017,12/12/2017,East Haven,19 GEORGE ST,93350,95000,Single Family,25 - Other,RATIO TOO HIGH
17677,2017,07/09/2018,Hartford,214 GRANDVIEW TER,64610,150000,Two Family,25 - Other,Motivated Seller Below market
17021,2017,10/06/2017,Hartford,25 SALEM ST,46725,91000,Single Family,25 - Other,Motivated Seller Below market
1700094,2017,12/29/2017,Brookfield,32 SKYLINE DR,327260,290500,Single Family,14 - Foreclosure,COMMITTEE DEED/FORECLOSURE
170328,2017,02/23/2018,New Haven,315 SUMMIT STREET,79590,114900,Single Family,25 - Other,BELOW MARKET
170101,2017,10/25/2017,Norwalk,27 ARNOLD LN,362800,220000,Single Family,07 - Change in Property,6-28-16-0
170258,2017,01/19/2018,New Haven,33 WINTHROP AVENUE,76160,50000,Single Family,07 - Change in Property,BELOW MARKET
170067,2017,12/21/2017,Ledyard,8 BARN RD,110740,95000,Single Family,25 - Other,UNKNOWN CIRCUMSTANCES OF SALE
17665,2017,07/06/2018,Hartford,76 MORRIS ST UNIT 76A,35875,50000,Condo,25 - Other,Motivated Seller Below market
170301,2017,08/29/2018,Ledyard,16 CARRIAGE TRL,100590,91950,Single Family,25 - Other,UNKNOWN CIRCUMSTANCES - NEARLY NO MARKET EXPOSURE
1700352,2017,05/21/2018,East Haven,72 PALMETTO TRAIL,119770,138000,Single Family,25 - Other,RATIO TOO HIGH
170019,2017,12/04/2017,Woodbridge,16 COW PATH LN,387940,301000,Single Family,07 - Change in Property,FATHER WENT TO JAIL LEFT VACANT FOR YEARS
170779,2017,08/27/2018,Southington,451 JUDE LN,141090,278400,Single Family,25 - Other,CONDITION
171582,2017,09/18/2018,Norwalk,9 SHADOW LN,388950,595238,Single Family,07 - Change in Property,5-23-262-0
170001,2017,10/02/2017,Middlebury,150 NORTHRIDGE DR,650900,1100000,Single Family,25 - Other,Colonial
1700151,2017,01/03/2018,East Haven,15 LENOX ST,165320,175000,Single Family,25 - Other,RATIIO TOO HIGH
1700190,2017,01/30/2018,New Milford,26 EAST VIEW DR,51170,17000,Single Family,25 - Other,SALES RATIO
1700015,2017,10/11/2017,East Haven,22 KENNY CT,137190,155000,Single Family,25 - Other,Ratio too high
17730,2017,07/26/2018,Hartford,496 BROADVIEW TER,54075,215000,Single Family,07 - Change in Property,Sale of a tax deferred property
170263,2017,11/15/2017,Bridgeport,233 SIXTH ST,96560,97500,Single Family,25 - Other,SOLD BELOW MARKET VALUE
170221,2017,11/07/2017,Bridgeport,134 SPRINGDALE ST,107980,110000,Single Family,25 - Other,DISTRESS SALE
1700187,2017,02/01/2018,East Haven,55 THOMPSON ST #15F,76440,83000,Condo,25 - Other,RATIO TOO HIGH
17123,2017,07/31/2018,Haddam,44 CLARK RD,99410,228000,Single Family,07 - Change in Property,WARRANTY DEED
1700001,2017,10/02/2017,New Milford,14 MTN DR,443460,800000,Single Family,25 - Other,SALES RATIO
170431,2017,03/28/2018,New Haven,79 PARKSIDE AVENUE,91910,80000,Single Family,25 - Other,BELOW MARKET
170190,2017,12/15/2017,Southington,372 LAKEVIEW DR,87110,95000,Condo,25 - Other,CONDITION
1700379,2017,06/05/2018,East Haven,214 HEMINGWAY AVE,143990,155000,Two Family,25 - Other,RATIO TOO HIGH
1700209,2017,02/09/2018,New Milford,5 NUTMEG DR,185640,170000,Single Family,25 - Other,SALES RATIO
170982,2017,04/20/2018,Milford,206 MEADOWSIDE RD,146970,245000,Single Family,07 - Change in Property,HOUSE UPDATED AFTER 10/1/17
172976,2017,05/21/2018,Shelton,48 WHITE TAIL LN,52430,571437,Condo,07 - Change in Property,HAWKS RIDGE CONDO
170247,2017,06/29/2018,Rocky Hill,6 BAYBERRY LANE,138530,100000,Single Family,25 - Other,SALES RATIO TOO HIGH
1700387,2017,06/01/2018,New Milford,90 LONG MTN RD,156170,272000,Single Family,25 - Other,SALES RATIO
170326,2017,02/23/2018,New Haven,65 DONNA DR. UNIT B2,21770,20500,Condo,25 - Other,BELOW MARKET
170016,2017,10/17/2017,New Haven,66 BASSETT STREET,67410,30000,Two Family,25 - Other,BELOW MARKET
17569,2017,05/24/2018,Hartford,215 COLEBROOK ST,49735,60500,Single Family,25 - Other,Motivated Seller Below market
173236,2017,09/04/2018,Shelton,55 HEATHER RIDGE,99190,171500,Condo,07 - Change in Property,HEATHER RIDGE CONDO
17034,2017,04/04/2018,Old Saybrook,82 SPENCER PLAIN RD,62100,22000,Single Family,25 - Other,RATIO
170012,2017,10/06/2017,Vernon,60-74 OLD TOWN RD,83040,75000,Condo,25 - Other,UNKNOWN REASON
1700235,2017,03/21/2018,East Haven,24 COUNTY WALK LN,203610,199900,Condo,25 - Other,RATIO TOO HIGH
17110,2017,12/01/2017,Newington,235 EAST ROBBINS,117150,140000,Single Family,07 - Change in Property,Sale is not between a willing buyer and a willing seller
17477,2017,04/12/2018,Hartford,123 EARLE ST,43715,55000,Three Family,25 - Other,Motivated Seller Below market
170293,2017,02/12/2018,New Haven,144 GREENWOOD STREET,94010,110000,Two Family,25 - Other,BELOW MARKET
17263,2017,01/17/2018,Hartford,112 ANDOVER ST,26390,51000,Single Family,25 - Other,Motivated Seller Below market
1700430,2017,07/03/2018,East Haven,93 COSEY BEACH AVE #3,159660,180000,Condo,25 - Other,RATIO TOO HIGH
17388,2017,03/12/2018,Hartford,30 CONGRESS ST,125440,175000,Four Family,25 - Other,Motivated Seller Below market
170279,2017,01/30/2018,New Haven,54 CLARK STREET,277260,277500,Two Family,25 - Other,BELOW MARKET
170058,2017,06/11/2018,East Granby,168 TURKEY HILLS ROAD,141100,140000,Single Family,25 - Other,RATIO TOO HIGH
170036,2017,10/26/2017,New Haven,165 SHEFFIELD AVENUE,70910,80000,Single Family,25 - Other,BELOW MARKET
1700266,2017,03/21/2018,New Milford,24 COLONIAL RDG RD,232680,275000,Single Family,25 - Other,SALES RATIO
170890,2017,08/20/2018,New Haven,183 CHATHAM ST,97090,111000,Two Family,25 - Other,BELOW MARKET
170276,2017,01/30/2018,New Haven,9 EDGAR STREET,75230,95000,Single Family,25 - Other,BELOW MARKET
170032,2017,10/05/2017,Bridgeport,3200-1 PARK AVE #7B,100570,93500,Condo,25 - Other,BELOW MARKET VALUE
170948,2017,05/10/2018,Norwalk,16 SILK ST,193950,395000,Single Family,07 - Change in Property,5-57-31-0
171908,2017,08/20/2018,Bridgeport,1367 RESERVOIR AVE,106940,115000,Single Family,25 - Other,FLIP
170929,2017,05/22/2018,Naugatuck,51-3A BROOK STREET,68990,105000,Condo,07 - Change in Property,ARMS LENGTH SALE
17096,2017,09/06/2018,Marlborough,15 GLENWOOD DR,115920,174000,Single Family,07 - Change in Property,Flipped house
170049,2017,10/31/2017,New Haven,169 POND LILY AVENUE,66066,54000,Single Family,25 - Other,BELOW MARKET
17604,2017,06/07/2018,Hartford,69 ENFIELD ST,41370,88800,Single Family,25 - Other,BELOW MARKET VALUE
1700238,2017,03/23/2018,East Haven,346 COE AVE,151280,165000,Single Family,25 - Other,RATIO TOO HIGH
171982,2017,09/04/2018,Bridgeport,395-397 WILLIAM ST,142510,110000,Three Family,25 - Other,SOLD BELOW MARKET VALUE
171031,2017,06/29/2018,Naugatuck,401 UNION CITY ROAD,139900,155000,Single Family,25 - Other,PROPERTY FLIP WITHIN 1 MONTH FOR $155000
170010,2017,10/04/2017,New Haven,577 ELLSWORTH AVENE,222950,255000,Single Family,25 - Other,BELOW MARKET
1700630,2017,09/24/2018,New Milford,381 KENT RD,107490,75000,Single Family,25 - Other,SALES RATIO
1700302,2017,04/26/2018,East Haven,94 ROSE ST,147210,180000,Single Family,01 - Family,RATIO TOO HIGH
1700413,2017,06/15/2018,New Milford,3 FOX RIDGE DR,424410,525000,Single Family,25 - Other,SALES RATIO
170095,2017,09/18/2018,East Granby,9 TALCOTT RANGE DRIVE,215200,221000,Single Family,25 - Other,RATIO TOO HIGH
1700512,2017,08/01/2018,New Milford,765 CANDLEWOOD LK S,382760,1020000,Single Family,25 - Other,SALES RATIO
170082,2017,07/02/2018,Salisbury,127 WASHINEE HEIGHTS,1184900,1200000,Single Family,25 - Other,NEIGHBOR
170861,2017,04/18/2018,Norwalk,3 EDGEWATER PL,211460,380000,Single Family,03 - Inter Corporation,3-55-7-0
170196,2017,11/02/2017,Bridgeport,170-172 LIVINGSTON PLACE,175570,155000,Three Family,25 - Other,DISTRESS SALE
170061,2017,11/02/2017,New Haven,29 MAPLE STREET,155330,100000,Single Family,25 - Other,BELOW MARKET
170973,2017,03/05/2018,Bridgeport,325 LAFAYETTE ST UNIT 8001,31400,77000,Condo,25 - Other,DISTRESS SALE
1700136,2017,12/22/2017,East Haven,214 GRANNIS ST,140420,175000,Single Family,25 - Other,RATIO TOO HIGH
170055,2017,12/21/2017,Oxford,4 ROWLAND FARM RD,243400,325000,Condo,25 - Other,WAY BELOW MARKET
1700011,2017,10/06/2017,East Haven,6 STODDARD RD,137380,172000,Single Family,25 - Other,Ratio too high
170261,2017,01/22/2018,New Haven,1A HEMINGWAY,36330,27500,Condo,25 - Other,BELOW MARKEt
171022,2017,05/29/2018,Norwalk,27 ARNOLD LN,362800,595000,Single Family,07 - Change in Property,6-28-16-0
170649,2017,06/15/2018,New Haven,309 SAINT RONAN ST A5,222180,200000,Condo,25 - Other,BELOW MARKET
17078,2017,04/20/2018,Haddam,39 BEN CLARK HILL RD,267210,279371,Single Family,07 - Change in Property,SPECIAL WARRANTY DEED
170033,2017,10/24/2017,New Haven,343 SHELTON AVENUE,92120,75000,Single Family,14 - Foreclosure,BELOW MARKET
170396,2017,12/11/2017,Bridgeport,196 POPLAR ST,148660,120000,Three Family,25 - Other,SOLD BELOW MARKET VALUE
170892,2017,08/24/2018,New Haven,33 NORTON STREET,129920,115000,Two Family,25 - Other,BELOW MARKET
1700416,2017,06/18/2018,New Milford,2 GOOD HILL RD,137760,232000,Single Family,25 - Other,SALES RATIO
170300,2017,02/14/2018,New Haven,34 HAWTHORNE RD,80010,75000,Single Family,25 - Other,BELOW MARKEt
170130,2017,02/16/2018,New London,151 ONECO AVE,110670,3000000,Four Family,24 - Plottage,"SOLD ON SAME DEED 157, 161 165 171 ONECO AVE"
1700439,2017,06/29/2018,New Milford,12 PROSPECT PL,144410,285000,Single Family,07 - Change in Property,SALES RATIO
170063,2017,05/03/2018,Killingworth,307 ROUTE 148,299240,460000,Single Family,25 - Other,NOT BETWEEN WILLING BUYER AND SELLER
1700124,2017,12/13/2017,East Haven,330 SHORT BEACH RD #F10,85230,109080,Condo,25 - Other,RATIO TOO HIGH
170403,2017,07/18/2018,New London,20 GRAND ST,65800,40000,Single Family,25 - Other,ratio
1700267,2017,09/20/2018,Wolcott,456 BOUND LINE RD,131810,150000,Single Family,25 - Other,NON MLS SALE; NO MARKET TIME OR SALES OR FINANCE CONCESSION DATA AVAILABLE.
17076,2017,04/19/2018,Haddam,18 SPIDER HILL RD,135100,40000,Single Family,25 - Other,WARRANTY DEED
170528,2017,12/12/2017,Milford,35 BERTROSE AVE,174600,165000,Single Family,25 - Other,LOW SALE FOR NEIGHBORHOOD
17014,2017,10/04/2017,Hartford,49 WOODSTOCK ST,35840,60000,Single Family,25 - Other,Motivated Seller Below market
1700161,2017,01/09/2018,East Haven,13 CEDAR CT #G,55210,46000,Condo,25 - Other,RATIO TOO HIGH
170078,2017,11/09/2017,New Haven,229 B-1 FRONT STREET,124180,131000,Condo,25 - Other,BELOW MARKET
170519,2017,04/09/2018,Stratford,35 PLANE TREE RD,178430,316500,Single Family,07 - Change in Property,ASSESSED VALUE MAY NOT REFLECT CHANGES TO PROPERTY
1700074,2017,11/06/2017,New Milford,83 SHERRY LN,139740,142000,Single Family,25 - Other,SALES RATIO
1700138,2017,08/28/2018,Middlebury,1274 STRAITS TPK,132700,140000,Single Family,25 - Other,Bunglaow
170041,2017,10/06/2017,Bridgeport,85 HOLROYD ST,107370,110000,Single Family,25 - Other,BELOW MARKET VALUE
170093,2017,11/16/2017,New Haven,240 NORTON ST,113400,400000,Two Family,25 - Other,ABOVE MARKET
170475,2017,04/30/2018,New Haven,83 PORTER STREET,103180,90000,Single Family,25 - Other,BELOW MARKET includes vacant lot
170696,2017,07/31/2018,Southington,80 SOUTH PLAINS RD,150410,308500,Single Family,25 - Other,OVER VALUE
170052,2017,10/11/2017,Bridgeport,94 BEVERLY DR,109010,129900,Single Family,25 - Other,BELOW MARKET VALUE
1700082,2017,11/20/2017,East Haven,23 BIRCH LN #L,62770,70000,Condo,25 - Other,Ratio too High
170059,2017,01/02/2018,Oxford,28 CHARTER OAK DR,205200,245000,Single Family,25 - Other,RATIO TO LOW
170057,2017,11/03/2017,New Haven,264 BLATCHLEY AVENUE,47040,20000,Three Family,25 - Other,BELOW MARKET
